week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Arizona,Carolina,Pittsburgh,Houston,New England,Seattle,Cincinnati,Dallas,NY Giants,Baltimore,Detroit,Green Bay,Denver,Minnesota,Kansas City,San Diego,Indianapolis,-4.218231760696542
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Green Bay,NY Giants,Baltimore,Pittsburgh,Buffalo,San Diego,Minnesota,Kansas City,Los Angeles,Indianapolis,-4.218458388086043
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Pittsburgh,Denver,Arizona,San Diego,Minnesota,-4.218548269475397
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Pittsburgh,Indianapolis,Green Bay,Arizona,Denver,Baltimore,Los Angeles,Minnesota,-4.218670119295312
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Arizona,San Diego,NY Giants,-4.218705307060707
Seattle,Carolina,Oakland,Houston,New England,Arizona,Green Bay,Dallas,NY Giants,Baltimore,Pittsburgh,Buffalo,Cincinnati,Denver,Kansas City,Los Angeles,Minnesota,-4.218768791576304
Seattle,Arizona,NY Giants,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Buffalo,Denver,Minnesota,Carolina,San Diego,Indianapolis,-4.218882036227806
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Green Bay,NY Giants,Baltimore,Detroit,Buffalo,Denver,Minnesota,Kansas City,San Diego,Indianapolis,-4.21905081247958
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,NY Giants,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.219102376818792
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Oakland,NY Giants,Baltimore,Indianapolis,Buffalo,Pittsburgh,Denver,Kansas City,San Diego,Minnesota,-4.2192080847200515
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Miami,Denver,Minnesota,Arizona,Los Angeles,Indianapolis,-4.219313545222466
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Green Bay,Cincinnati,NY Giants,Baltimore,Pittsburgh,Dallas,Denver,Minnesota,Kansas City,San Diego,Indianapolis,-4.219316742972932
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Oakland,Kansas City,Baltimore,Detroit,Green Bay,Denver,Minnesota,Arizona,San Diego,Indianapolis,-4.219341514416474
