week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,Buffalo,Carolina,New England,Miami,Minnesota,Cincinnati,Kansas City,Baltimore,San Francisco,Tennessee,-4.498216409507807
Philadelphia,Green Bay,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Denver,Dallas,Buffalo,Kansas City,New England,Miami,Minnesota,LA Rams,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498217698304723
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Washington,LA Rams,-4.498249503604035
Indianapolis,Green Bay,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Tennessee,Baltimore,Cleveland,-4.498268699637025
Indianapolis,Green Bay,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Denver,Buffalo,Kansas City,New England,Miami,LA Rams,Dallas,New Orleans,Baltimore,Seattle,Tennessee,-4.49827120213739
Baltimore,Green Bay,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Las Vegas,Philadelphia,Buffalo,Kansas City,New England,Miami,LA Rams,Dallas,Denver,Tennessee,Indianapolis,Minnesota,-4.498333468987494
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Carolina,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,Denver,Tennessee,Baltimore,New Orleans,-4.498335410791942
Baltimore,LA Rams,Cincinnati,Philadelphia,Tampa Bay,San Francisco,Denver,Dallas,LA Chargers,Kansas City,New England,Miami,Green Bay,Buffalo,New Orleans,Minnesota,Indianapolis,Tennessee,-4.498394512267883
Baltimore,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Dallas,Green Bay,Kansas City,New England,Miami,LA Rams,Buffalo,Denver,Tennessee,Seattle,Minnesota,-4.498411931319676
San Francisco,Denver,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Las Vegas,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,LA Rams,New Orleans,Baltimore,Indianapolis,Tennessee,-4.4984542183076925
Baltimore,Green Bay,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Las Vegas,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,Denver,Tennessee,Indianapolis,LA Rams,-4.4984583891412475
Baltimore,Denver,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Dallas,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Carolina,Indianapolis,Tennessee,-4.4984591344273195
Indianapolis,LA Rams,LA Chargers,Cleveland,Tampa Bay,San Francisco,Cincinnati,Denver,Philadelphia,Kansas City,New England,Miami,Green Bay,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.498467396027545
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Kansas City,LA Rams,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.498518854802448
Baltimore,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Dallas,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,Tennessee,Seattle,LA Rams,-4.49853685147343
San Francisco,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Indianapolis,Minnesota,Dallas,Denver,Baltimore,Arizona,Miami,-4.498581992135437
Philadelphia,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Las Vegas,Denver,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498614539100065
Indianapolis,LA Rams,Cincinnati,Philadelphia,Tampa Bay,San Francisco,Las Vegas,Dallas,LA Chargers,Kansas City,Denver,Miami,Green Bay,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.498655450275386
San Francisco,Denver,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,LA Rams,Buffalo,Baltimore,Tennessee,Indianapolis,Minnesota,-4.498669488920452
New Orleans,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Indianapolis,Minnesota,Dallas,Denver,Baltimore,Washington,Miami,-4.498670889930315
San Francisco,Denver,Buffalo,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,LA Rams,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498685137508128
Indianapolis,San Francisco,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.498689078327597
New Orleans,Green Bay,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Denver,Dallas,Buffalo,Kansas City,New England,Miami,Minnesota,LA Rams,Philadelphia,Baltimore,Indianapolis,Tennessee,-4.498690790319759
Indianapolis,Denver,LA Rams,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Washington,Tennessee,-4.498707696659137
Indianapolis,LA Rams,Minnesota,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Dallas,LA Chargers,Kansas City,New England,Miami,Green Bay,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.49873031118487
New Orleans,Green Bay,LA Chargers,Cleveland,Tampa Bay,Indianapolis,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,LA Rams,Dallas,Denver,Baltimore,Seattle,Minnesota,-4.4987575422956985
Baltimore,Green Bay,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Denver,Buffalo,LA Rams,New England,Miami,Minnesota,Dallas,New Orleans,Tennessee,Indianapolis,Kansas City,-4.498790219326369
San Francisco,Denver,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Baltimore,Tennessee,Indianapolis,LA Rams,-4.498794409074206
Indianapolis,San Francisco,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,LA Rams,-4.498813998481351
Indianapolis,LA Rams,Cincinnati,Cleveland,Tampa Bay,San Francisco,Denver,Dallas,LA Chargers,Kansas City,New England,Miami,Green Bay,Buffalo,Philadelphia,Tennessee,Baltimore,New Orleans,-4.49883145930831
San Francisco,Denver,LA Chargers,Cleveland,Tampa Bay,Indianapolis,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Green Bay,Tennessee,-4.4988600119340765
Indianapolis,Green Bay,Minnesota,LA Chargers,Tampa Bay,San Francisco,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,LA Rams,Dallas,Denver,Tennessee,Baltimore,New Orleans,-4.498861145433854
New Orleans,Green Bay,LA Chargers,Cleveland,Tampa Bay,Indianapolis,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,Denver,Baltimore,Seattle,LA Rams,-4.498882462449453
Philadelphia,LA Rams,LA Chargers,Cleveland,Tampa Bay,San Francisco,Cincinnati,Denver,Buffalo,Kansas City,New England,Miami,Green Bay,Dallas,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498886366986375
Indianapolis,Denver,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Las Vegas,Dallas,Green Bay,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.498906447566949
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Denver,Buffalo,Kansas City,New England,Miami,Green Bay,Dallas,New Orleans,Tennessee,Baltimore,Cleveland,-4.498956626734911
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Denver,Tennessee,Cincinnati,Kansas City,New England,Miami,Green Bay,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.49895883105675
